flight_date,flight_id,airline,flight_number,tail_number,operation,origin,destination,concourse,scheduled_time,scheduled_min,actual_time,actual_min,actual_taxi_min,wheels_time_min,delay_min,distance_mi
2025-02-03,F0001,AA,1326,N808AW,ARR,CLT,ATL,D,00:04,4,23:41,1421,6.0,1415,-23.0,226.0
2025-02-03,F0002,B6,1319,N3247J,ARR,JFK,ATL,A,00:11,11,23:37,1417,4.0,1413,-34.0,760.0
2025-02-03,F0003,NK,581,N739NK,ARR,PHL,ATL,C,00:27,27,00:06,6,22.0,1424,-21.0,666.0
2025-02-03,F0004,DL,687,N108DN,ARR,LAS,ATL,A,00:29,29,00:08,8,5.0,3,-21.0,1747.0
2025-02-03,F0005,F9,4601,N367FR,ARR,EWR,ATL,A,00:32,32,00:52,52,11.0,41,20.0,746.0
2025-02-03,F0006,DL,471,N314DN,ARR,LAX,ATL,D,00:39,39,00:20,20,4.0,16,-19.0,1947.0
2025-02-03,F0007,WN,2298,N8880G,ARR,LAS,ATL,D,00:45,45,00:58,58,3.0,55,13.0,1747.0
2025-02-03,F0008,AA,636,N852NN,ARR,MIA,ATL,D,00:46,46,00:23,23,10.0,13,-23.0,594.0
2025-02-03,F0009,F9,4106,N317FR,ARR,IAH,ATL,A,01:11,71,02:11,131,6.0,125,60.0,689.0
2025-02-03,F0010,F9,1100,N395FR,ARR,PHX,ATL,A,01:11,71,00:55,55,10.0,45,-16.0,1587.0
2025-02-03,F0011,DL,543,N711ZX,ARR,SNA,ATL,B,04:24,264,04:05,245,5.0,240,-19.0,1919.0
2025-02-03,F0012,DL,417,N321DH,ARR,LAS,ATL,C,05:00,300,04:38,278,4.0,274,-22.0,1747.0
2025-02-03,F0013,DL,1669,N585NW,ARR,PHX,ATL,C,05:03,303,04:43,283,5.0,278,-20.0,1587.0
2025-02-03,F0014,DL,446,N540DE,ARR,LAX,ATL,C,05:04,304,05:00,300,6.0,294,-4.0,1947.0
2025-02-03,F0015,AA,1777,N875NN,DEP,ATL,PHX,D,05:15,315,05:54,354,14.0,368,39.0,1587.0
2025-02-03,F0016,AA,2770,N871NN,DEP,ATL,DFW,D,05:17,317,05:17,317,18.0,335,0.0,731.0
2025-02-03,F0017,DL,912,N509DT,ARR,SLC,ATL,A,05:19,319,04:51,291,5.0,286,-28.0,1590.0
2025-02-03,F0018,NK,578,N739NK,DEP,ATL,PHL,C,05:20,320,05:12,312,9.0,321,-8.0,666.0
2025-02-03,F0019,DL,551,N872DN,ARR,SFO,ATL,A,05:30,330,05:55,355,4.0,351,25.0,2139.0
2025-02-03,F0020,NK,158,N935NK,DEP,ATL,FLL,C,05:33,333,05:27,327,15.0,342,-6.0,581.0
2025-02-03,F0021,DL,819,N125DN,ARR,SAN,ATL,D,05:33,333,05:15,315,4.0,311,-18.0,1892.0
2025-02-03,F0022,AA,2764,N778XF,DEP,ATL,MIA,D,05:37,337,05:26,326,14.0,340,-11.0,594.0
2025-02-03,F0023,MQ,3595,N223NN,DEP,ATL,DCA,B,05:43,343,05:38,338,11.0,349,-5.0,547.0
2025-02-03,F0024,DL,561,N3771K,ARR,FAT,ATL,D,05:44,344,05:16,316,3.0,313,-28.0,1997.0
2025-02-03,F0025,F9,3216,N337FR,ARR,LAX,ATL,D,05:54,354,06:15,375,9.0,366,21.0,1947.0
2025-02-03,F0026,NK,1360,N730NK,DEP,ATL,BOS,C,05:55,355,05:51,351,12.0,363,-4.0,946.0
2025-02-03,F0027,DL,899,N191DN,ARR,LAX,ATL,D,05:58,358,06:01,361,4.0,357,3.0,1947.0
2025-02-03,F0028,DL,743,N902DN,ARR,SMF,ATL,D,06:00,360,05:52,352,15.0,337,-8.0,2092.0
2025-02-03,F0029,AS,727,N590AS,ARR,SEA,ATL,B,06:00,360,06:15,375,6.0,369,15.0,2182.0
2025-02-03,F0030,F9,1116,N379FR,ARR,LAS,ATL,D,06:03,363,06:01,361,40.0,321,-2.0,1747.0
2025-02-03,F0031,F9,1403,N395FR,DEP,ATL,IAH,D,06:06,366,05:54,354,15.0,369,-12.0,689.0
2025-02-03,F0032,WN,639,N8576Z,DEP,ATL,LGA,C,06:10,370,06:05,365,9.0,374,-5.0,762.0
2025-02-03,F0033,NK,813,N933NK,DEP,ATL,DTW,A,06:10,370,05:59,359,16.0,375,-11.0,594.0
2025-02-03,F0034,DL,722,N383DZ,ARR,LAS,ATL,B,06:24,384,06:19,379,5.0,374,-5.0,1747.0
2025-02-03,F0035,F9,1595,N390FR,DEP,ATL,ORD,A,06:25,385,06:12,372,13.0,385,-13.0,606.0
2025-02-03,F0036,NK,1356,N677NK,DEP,ATL,DFW,C,06:25,385,06:19,379,9.0,388,-6.0,731.0
2025-02-03,F0037,WN,4397,N8543Z,DEP,ATL,MDW,C,06:30,390,06:27,387,10.0,397,-3.0,591.0
2025-02-03,F0038,DL,404,N346DN,DEP,ATL,LGA,B,06:30,390,06:24,384,10.0,394,-6.0,762.0
2025-02-03,F0039,NK,506,N730NK,ARR,LAX,ATL,C,06:32,392,06:29,389,5.0,384,-3.0,1947.0
2025-02-03,F0040,WN,1326,N8750Q,DEP,ATL,HOU,D,06:35,395,06:35,395,12.0,407,0.0,696.0
2025-02-03,F0041,DL,888,N877DN,ARR,PDX,ATL,C,06:38,398,06:12,372,5.0,367,-26.0,2172.0
2025-02-03,F0042,DL,1729,N953DZ,ARR,SAV,ATL,D,06:40,400,06:34,394,6.0,388,-6.0,214.0
2025-02-03,F0043,DL,309,N809NW,ARR,HNL,ATL,C,06:40,400,05:56,356,8.0,348,-44.0,4502.0
2025-02-03,F0044,DL,3028,N827DN,ARR,GSP,ATL,C,06:45,405,06:30,390,5.0,385,-15.0,153.0
2025-02-03,F0045,WN,714,N930WN,DEP,ATL,DAL,C,06:45,405,06:39,399,9.0,408,-6.0,721.0
2025-02-03,F0046,B6,1320,N3196J,DEP,ATL,JFK,A,06:45,405,06:36,396,16.0,412,-9.0,760.0
2025-02-03,F0047,DL,3038,N965AT,ARR,CAE,ATL,B,06:47,407,06:24,384,6.0,378,-23.0,192.0
2025-02-03,F0048,DL,652,N822DX,ARR,SEA,ATL,D,06:47,407,06:45,405,8.0,397,-2.0,2182.0
2025-02-03,F0049,DL,3015,N943DZ,ARR,TYS,ATL,B,06:49,409,06:26,386,7.0,379,-23.0,152.0
2025-02-03,F0050,DL,2722,N672DL,ARR,JAX,ATL,D,06:49,409,07:00,420,9.0,411,11.0,270.0
2025-02-03,F0051,DL,3018,N959DZ,ARR,GSO,ATL,C,06:50,410,06:45,405,6.0,399,-5.0,306.0
