flight_date,flight_id,airline,flight_number,tail_number,operation,origin,destination,concourse,scheduled_time,scheduled_min,actual_time,actual_min,actual_taxi_min,wheels_time_min,delay_min,distance_mi
2025-03-17,F0001,AA,1570,N835AW,ARR,CLT,ATL,D,00:04,4,01:42,102.0,4.0,98.0,98.0,226.0
2025-03-17,F0002,WN,2763,N485WN,ARR,BWI,ATL,D,00:10,10,23:49,1429.0,5.0,1424.0,-21.0,577.0
2025-03-17,F0003,DL,514,N366DX,ARR,LAS,ATL,B,00:25,25,00:05,5.0,7.0,1438.0,-20.0,1747.0
2025-03-17,F0004,WN,3037,N500WR,ARR,MDW,ATL,C,00:25,25,00:45,45.0,4.0,41.0,20.0,591.0
2025-03-17,F0005,WN,1193,N256WN,ARR,DEN,ATL,D,00:35,35,00:22,22.0,6.0,16.0,-13.0,1199.0
2025-03-17,F0006,NK,606,N669NK,ARR,DFW,ATL,C,00:37,37,00:18,18.0,7.0,11.0,-19.0,731.0
2025-03-17,F0007,F9,4601,N372FR,ARR,EWR,ATL,D,00:41,41,00:19,19.0,20.0,1439.0,-22.0,746.0
2025-03-17,F0008,DL,395,N554NW,ARR,LAX,ATL,D,00:48,48,00:34,34.0,7.0,27.0,-14.0,1947.0
2025-03-17,F0009,F9,4405,N664FR,ARR,MIA,ATL,D,00:51,51,02:01,121.0,8.0,113.0,70.0,594.0
2025-03-17,F0010,AA,636,N879NN,ARR,MIA,ATL,D,00:54,54,00:40,40.0,5.0,35.0,-14.0,594.0
2025-03-17,F0011,F9,1003,N389FR,ARR,PHL,ATL,D,01:16,76,02:11,131.0,11.0,120.0,55.0,666.0
2025-03-17,F0012,WN,2311,N8685B,ARR,DAL,ATL,C,01:25,85,01:38,98.0,5.0,93.0,13.0,721.0
2025-03-17,F0013,DL,543,N713TW,ARR,SNA,ATL,D,04:34,274,04:02,242.0,5.0,237.0,-32.0,1919.0
2025-03-17,F0014,F9,3216,N622FR,ARR,LAX,ATL,A,04:49,289,05:52,352.0,11.0,341.0,63.0,1947.0
2025-03-17,F0015,F9,3294,N648FR,ARR,DEN,ATL,A,04:58,298,04:45,285.0,12.0,273.0,-13.0,1199.0
2025-03-17,F0016,DL,643,N341DN,ARR,SAN,ATL,C,05:00,300,05:15,315.0,9.0,306.0,15.0,1892.0
2025-03-17,F0017,DL,635,N880DN,ARR,SFO,ATL,D,05:00,300,04:55,295.0,5.0,290.0,-5.0,2139.0
2025-03-17,F0018,DL,540,N358DN,ARR,PHX,ATL,B,05:01,301,04:51,291.0,6.0,285.0,-10.0,1587.0
2025-03-17,F0019,DL,417,N106DN,ARR,LAS,ATL,D,05:01,301,04:42,282.0,5.0,277.0,-19.0,1747.0
2025-03-17,F0020,AA,2479,N9012,DEP,ATL,CLT,D,05:04,304,05:27,327.0,13.0,340.0,23.0,226.0
2025-03-17,F0021,DL,471,N390DN,ARR,LAX,ATL,B,05:05,305,04:43,283.0,7.0,276.0,-22.0,1947.0
2025-03-17,F0022,F9,1004,nan,DEP,ATL,PHL,D,05:05,305,,,,,,666.0
2025-03-17,F0023,DL,912,N129DN,ARR,SLC,ATL,D,05:14,314,06:10,370.0,4.0,366.0,56.0,1590.0
2025-03-17,F0024,AA,3191,N831NN,DEP,ATL,PHX,D,05:15,315,05:08,308.0,21.0,329.0,-7.0,1587.0
2025-03-17,F0025,AA,2770,N889NN,DEP,ATL,DFW,D,05:17,317,05:10,310.0,15.0,325.0,-7.0,731.0
2025-03-17,F0026,DL,769,N864DN,ARR,SMF,ATL,C,05:23,323,04:53,293.0,9.0,284.0,-30.0,2092.0
2025-03-17,F0027,NK,442,N637NK,DEP,ATL,FLL,A,05:25,325,05:19,319.0,16.0,335.0,-6.0,581.0
2025-03-17,F0028,AA,2764,N824AW,DEP,ATL,MIA,D,05:26,326,,,,,,594.0
2025-03-17,F0029,AA,3138,N979AN,ARR,PHX,ATL,D,05:28,328,05:30,330.0,22.0,308.0,2.0,1587.0
2025-03-17,F0030,MQ,4103,N210NN,DEP,ATL,DCA,B,05:29,329,05:36,336.0,22.0,358.0,7.0,547.0
2025-03-17,F0031,WN,1379,N8910Q,ARR,PHX,ATL,C,05:30,330,05:22,322.0,5.0,317.0,-8.0,1587.0
2025-03-17,F0032,DL,819,N113DX,ARR,SAN,ATL,D,05:33,333,05:35,335.0,4.0,331.0,2.0,1892.0
2025-03-17,F0033,UA,267,N27287,DEP,ATL,IAD,B,05:40,340,06:03,363.0,17.0,380.0,23.0,534.0
2025-03-17,F0034,WN,4876,N8804L,ARR,LAS,ATL,D,05:45,345,05:55,355.0,5.0,350.0,10.0,1747.0
2025-03-17,F0035,DL,302,N101DQ,ARR,DEN,ATL,B,05:45,345,05:21,321.0,7.0,314.0,-24.0,1199.0
2025-03-17,F0036,F9,2410,N372FR,DEP,ATL,CLE,A,05:45,345,05:40,340.0,15.0,355.0,-5.0,554.0
2025-03-17,F0037,DL,561,N385DN,ARR,FAT,ATL,B,05:56,356,05:28,328.0,5.0,323.0,-28.0,1997.0
2025-03-17,F0038,DL,722,N327DN,ARR,LAS,ATL,C,05:59,359,06:46,406.0,4.0,402.0,47.0,1747.0
2025-03-17,F0039,YX,4394,N114HQ,DEP,ATL,ORD,B,06:00,360,09:50,590.0,22.0,612.0,230.0,606.0
2025-03-17,F0040,NK,202,N923NK,DEP,ATL,SJU,C,06:00,360,05:54,354.0,13.0,367.0,-6.0,1547.0
2025-03-17,F0041,B6,1996,N3104J,DEP,ATL,BOS,B,06:00,360,05:54,354.0,14.0,368.0,-6.0,946.0
2025-03-17,F0042,F9,1403,N382FR,DEP,ATL,IAH,A,06:00,360,06:21,381.0,15.0,396.0,21.0,689.0
2025-03-17,F0043,DL,391,N552NW,ARR,RNO,ATL,B,06:01,361,05:47,347.0,13.0,334.0,-14.0,1993.0
2025-03-17,F0044,DL,929,N384DN,ARR,PHX,ATL,C,06:06,366,06:13,373.0,5.0,368.0,7.0,1587.0
2025-03-17,F0045,DL,899,N316DN,ARR,LAX,ATL,A,06:06,366,06:01,361.0,6.0,355.0,-5.0,1947.0
2025-03-17,F0046,UA,2482,N27246,ARR,SFO,ATL,C,06:09,369,06:54,414.0,4.0,410.0,45.0,2139.0
2025-03-17,F0047,WN,865,N8692F,DEP,ATL,LGA,D,06:10,370,06:09,369.0,9.0,378.0,-1.0,762.0
2025-03-17,F0048,DL,535,N190DN,ARR,OGG,ATL,B,06:10,370,05:54,354.0,6.0,348.0,-16.0,4431.0
2025-03-17,F0049,DL,1669,N878DN,ARR,SFO,ATL,B,06:11,371,06:00,360.0,3.0,357.0,-11.0,2139.0
2025-03-17,F0050,DL,567,N539DN,ARR,SEA,ATL,A,06:13,373,06:04,364.0,20.0,344.0,-9.0,2182.0
2025-03-17,F0051,WN,1755,N8509U,DEP,ATL,DEN,D,06:15,375,06:15,375.0,10.0,385.0,0.0,1199.0
2025-03-17,F0052,UA,447,N24736,DEP,ATL,EWR,B,06:15,375,06:37,397.0,14.0,411.0,22.0,746.0
2025-03-17,F0053,B6,1320,N3104J,DEP,ATL,JFK,B,06:18,378,,,,,,760.0
2025-03-17,F0054,WN,3401,N901WN,DEP,ATL,PHX,D,06:20,380,06:20,380.0,12.0,392.0,0.0,1587.0
