flight_date,flight_id,airline,flight_number,tail_number,operation,origin,destination,concourse,scheduled_time,scheduled_min,actual_time,actual_min,actual_taxi_min,wheels_time_min,delay_min,distance_mi
2024-09-02,F0001,F9,3117,N367FR,ARR,SYR,ATL,A,00:05,5,00:17,17.0,7.0,10.0,12.0,794.0
2024-09-02,F0002,WN,2744,N8520Q,ARR,DEN,ATL,D,00:20,20,01:13,73.0,5.0,68.0,53.0,1199.0
2024-09-02,F0003,DL,466,N923DZ,ARR,LAS,ATL,D,00:21,21,00:03,3.0,11.0,1432.0,-18.0,1747.0
2024-09-02,F0004,DL,8806,N387DA,ARR,BTR,ATL,D,00:28,28,00:30,30.0,8.0,22.0,2.0,448.0
2024-09-02,F0005,WN,3871,N948WN,ARR,PHX,ATL,C,00:30,30,00:44,44.0,6.0,38.0,14.0,1587.0
2024-09-02,F0006,DL,471,N306DN,ARR,LAX,ATL,C,00:33,33,23:59,1439.0,10.0,1429.0,-34.0,1947.0
2024-09-02,F0007,F9,4555,N721FR,ARR,MCO,ATL,A,00:36,36,00:32,32.0,9.0,23.0,-4.0,404.0
2024-09-02,F0008,F9,3046,N311FR,ARR,MSP,ATL,D,00:44,44,00:32,32.0,13.0,19.0,-12.0,907.0
2024-09-02,F0009,F9,2400,N620FR,ARR,IAH,ATL,D,00:44,44,02:02,122.0,97.0,25.0,78.0,689.0
2024-09-02,F0010,AA,1898,N976AN,ARR,MIA,ATL,D,00:44,44,00:38,38.0,6.0,32.0,-6.0,594.0
2024-09-02,F0011,DL,2875,N803DN,ARR,SEA,ATL,D,00:46,46,00:38,38.0,9.0,29.0,-8.0,2182.0
2024-09-02,F0012,WN,2105,N1807U,ARR,LAS,ATL,C,01:00,60,00:50,50.0,11.0,39.0,-10.0,1747.0
2024-09-02,F0013,NK,1315,N678NK,ARR,LAS,ATL,A,04:26,266,04:43,283.0,9.0,274.0,17.0,1747.0
2024-09-02,F0014,DL,783,N307DX,ARR,LAX,ATL,A,05:00,300,04:38,278.0,7.0,271.0,-22.0,1947.0
2024-09-02,F0015,DL,635,N877DN,ARR,SFO,ATL,D,05:00,300,05:10,310.0,9.0,301.0,10.0,2139.0
2024-09-02,F0016,DL,567,N535DN,ARR,SEA,ATL,D,05:00,300,04:57,297.0,10.0,287.0,-3.0,2182.0
2024-09-02,F0017,F9,3600,N633FR,ARR,DEN,ATL,A,05:03,303,04:39,279.0,17.0,262.0,-24.0,1199.0
2024-09-02,F0018,DL,912,N102DN,ARR,SLC,ATL,A,05:04,304,04:44,284.0,8.0,276.0,-20.0,1590.0
2024-09-02,F0019,AA,701,N117UW,DEP,ATL,CLT,D,05:10,310,,,,,,226.0
2024-09-02,F0020,DL,427,N885DN,ARR,PDX,ATL,A,05:21,321,05:12,312.0,8.0,304.0,-9.0,2172.0
2024-09-02,F0021,AA,1151,N805NN,DEP,ATL,MIA,D,05:25,325,05:25,325.0,14.0,339.0,0.0,594.0
2024-09-02,F0022,UA,267,N801UA,DEP,ATL,IAD,B,05:30,330,05:28,328.0,18.0,346.0,-2.0,534.0
2024-09-02,F0023,NK,3176,N657NK,DEP,ATL,FLL,C,05:36,336,05:36,336.0,14.0,350.0,0.0,581.0
2024-09-02,F0024,F9,1872,N233FR,DEP,ATL,JFK,D,05:45,345,05:43,343.0,13.0,356.0,-2.0,760.0
2024-09-02,F0025,DL,833,N115DN,ARR,BOI,ATL,B,05:46,346,05:31,331.0,6.0,325.0,-15.0,1838.0
2024-09-02,F0026,DL,391,N687DL,ARR,RNO,ATL,B,05:47,347,05:26,326.0,8.0,318.0,-21.0,1993.0
2024-09-02,F0027,DL,561,N3737C,ARR,FAT,ATL,D,05:48,348,05:18,318.0,5.0,313.0,-30.0,1997.0
2024-09-02,F0028,DL,819,N394DX,ARR,SAN,ATL,B,05:49,349,05:28,328.0,6.0,322.0,-21.0,1892.0
2024-09-02,F0029,NK,3340,N973NK,DEP,ATL,LGA,C,05:50,350,05:42,342.0,10.0,352.0,-8.0,762.0
2024-09-02,F0030,AA,2770,N983AN,DEP,ATL,DFW,D,06:00,360,05:58,358.0,10.0,368.0,-2.0,731.0
2024-09-02,F0031,WN,3200,N8514F,DEP,ATL,DEN,C,06:00,360,05:56,356.0,10.0,366.0,-4.0,1199.0
2024-09-02,F0032,DL,651,N583NW,DEP,ATL,DTW,C,06:00,360,05:58,358.0,12.0,370.0,-2.0,594.0
2024-09-02,F0033,AA,1550,N833AW,DEP,ATL,ORD,D,06:00,360,05:54,354.0,10.0,364.0,-6.0,606.0
2024-09-02,F0034,DL,836,N813NW,ARR,HNL,ATL,C,06:01,361,05:48,348.0,7.0,341.0,-13.0,4502.0
2024-09-02,F0035,DL,722,N349DX,ARR,LAS,ATL,B,06:02,362,05:51,351.0,7.0,344.0,-11.0,1747.0
2024-09-02,F0036,F9,3216,N228FR,ARR,LAX,ATL,A,06:04,364,08:22,502.0,8.0,494.0,138.0,1947.0
2024-09-02,F0037,F9,1403,N367FR,DEP,ATL,IAH,D,06:05,365,06:01,361.0,22.0,383.0,-4.0,689.0
2024-09-02,F0038,WN,4858,N8302F,DEP,ATL,BWI,C,06:05,365,06:01,361.0,8.0,369.0,-4.0,577.0
2024-09-02,F0039,NK,3154,N630NK,DEP,ATL,PHL,C,06:05,365,05:58,358.0,15.0,373.0,-7.0,666.0
2024-09-02,F0040,DL,899,N331DN,ARR,LAX,ATL,C,06:13,373,05:58,358.0,12.0,346.0,-15.0,1947.0
2024-09-02,F0041,DL,827,N123DW,DEP,ATL,LAX,A,06:15,375,06:13,373.0,9.0,382.0,-2.0,1947.0
2024-09-02,F0042,WN,4663,N8783L,DEP,ATL,LGA,C,06:15,375,06:15,375.0,13.0,388.0,0.0,762.0
2024-09-02,F0043,DL,574,N108DN,ARR,GEG,ATL,B,06:19,379,06:09,369.0,6.0,363.0,-10.0,1969.0
2024-09-02,F0044,B6,2713,N3077J,DEP,ATL,LGA,B,06:20,380,06:38,398.0,14.0,412.0,18.0,762.0
2024-09-02,F0045,WN,3794,N8551Q,DEP,ATL,MCO,D,06:20,380,06:22,382.0,9.0,391.0,2.0,404.0
2024-09-02,F0046,DL,929,N698DL,ARR,PHX,ATL,B,06:23,383,06:02,362.0,7.0,355.0,-21.0,1587.0
2024-09-02,F0047,DL,3015,N962DZ,ARR,TYS,ATL,B,06:25,385,06:11,371.0,9.0,362.0,-14.0,152.0
2024-09-02,F0048,WN,833,N406WN,DEP,ATL,MDW,D,06:25,385,06:24,384.0,8.0,392.0,-1.0,591.0
2024-09-02,F0049,DL,2942,N967AT,ARR,CHA,ATL,A,06:26,386,06:07,367.0,7.0,360.0,-19.0,106.0
2024-09-02,F0050,DL,540,N862DN,ARR,OAK,ATL,D,06:26,386,05:54,354.0,5.0,349.0,-32.0,2130.0
2024-09-02,F0051,NK,838,N692NK,ARR,SJU,ATL,C,06:26,386,06:02,362.0,7.0,355.0,-24.0,1547.0
2024-09-02,F0052,UA,2482,N37290,ARR,SFO,ATL,B,06:27,387,06:08,368.0,9.0,359.0,-19.0,2139.0
2024-09-02,F0053,F9,3293,N636FR,DEP,ATL,DEN,D,06:30,390,06:29,389.0,17.0,406.0,-1.0,1199.0
2024-09-02,F0054,DL,404,N320DN,DEP,ATL,LGA,C,06:30,390,06:27,387.0,16.0,403.0,-3.0,762.0
2024-09-02,F0055,WN,746,N8517F,DEP,ATL,DAL,D,06:35,395,06:31,391.0,9.0,400.0,-4.0,721.0
2024-09-02,F0056,UA,1888,N845UA,DEP,ATL,ORD,C,06:37,397,06:26,386.0,15.0,401.0,-11.0,606.0
2024-09-02,F0057,DL,3055,N893DN,ARR,CHS,ATL,A,06:38,398,06:36,396.0,7.0,389.0,-2.0,259.0
2024-09-02,F0058,WN,698,N968WN,DEP,ATL,HOU,D,06:40,400,06:36,396.0,9.0,405.0,-4.0,696.0
2024-09-02,F0059,UA,1511,N66841,DEP,ATL,EWR,C,06:40,400,06:55,415.0,17.0,432.0,15.0,746.0
2024-09-02,F0060,F9,1441,N228FR,DEP,ATL,ORD,D,06:45,405,06:31,391.0,23.0,414.0,-14.0,606.0
2024-09-02,F0061,WN,3218,N222WN,DEP,ATL,LAS,D,06:45,405,06:44,404.0,11.0,415.0,-1.0,1747.0
2024-09-02,F0062,F9,3118,N358FR,DEP,ATL,SYR,D,06:55,415,06:45,405.0,16.0,421.0,-10.0,794.0
2024-09-02,F0063,WN,1155,N793SA,DEP,ATL,DCA,C,06:55,415,06:50,410.0,14.0,424.0,-5.0,547.0
2024-09-02,F0064,DL,1590,N941DZ,ARR,RDU,ATL,C,06:55,415,06:39,399.0,7.0,392.0,-16.0,356.0
2024-09-02,F0065,AS,377,N926AK,DEP,ATL,SEA,B,07:00,420,06:54,414.0,14.0,428.0,-6.0,2182.0
2024-09-02,F0066,DL,1548,N332DN,ARR,MCO,ATL,A,07:00,420,06:45,405.0,7.0,398.0,-15.0,404.0
2024-09-02,F0067,DL,3028,N889DN,ARR,GSP,ATL,B,07:00,420,06:59,419.0,15.0,404.0,-1.0,153.0
2024-09-02,F0068,WN,654,N448WN,DEP,ATL,PHX,C,07:00,420,06:58,418.0,10.0,428.0,-2.0,1587.0
2024-09-02,F0069,AA,2482,N324RN,DEP,ATL,MIA,D,07:01,421,07:03,423.0,13.0,436.0,2.0,594.0
2024-09-02,F0070,9E,5291,N302PQ,ARR,AGS,ATL,A,07:02,422,06:45,405.0,4.0,401.0,-17.0,143.0
2024-09-02,F0071,DL,2712,N608AT,ARR,AVL,ATL,B,07:03,423,06:56,416.0,8.0,408.0,-7.0,164.0
2024-09-02,F0072,DL,3038,N934DZ,ARR,CAE,ATL,B,07:04,424,06:55,415.0,13.0,402.0,-9.0,192.0
2024-09-02,F0073,DL,346,N101DQ,DEP,ATL,DEN,B,07:05,425,07:03,423.0,12.0,435.0,-2.0,1199.0
2024-09-02,F0074,DL,2668,N880DN,DEP,ATL,MSP,A,07:05,425,07:21,441.0,12.0,453.0,16.0,907.0
2024-09-02,F0075,WN,1317,N422WN,DEP,ATL,BNA,C,07:05,425,07:05,425.0,8.0,433.0,0.0,214.0
2024-09-02,F0076,DL,834,N366DX,DEP,ATL,LAS,A,07:05,425,06:59,419.0,12.0,431.0,-6.0,1747.0
2024-09-02,F0077,AA,1718,N807AW,DEP,ATL,CLT,D,07:06,426,08:18,498.0,20.0,518.0,72.0,226.0
2024-09-02,F0078,DL,1727,N937DZ,ARR,TLH,ATL,C,07:07,427,06:55,415.0,10.0,405.0,-12.0,223.0
2024-09-02,F0079,DL,3186,N950AT,ARR,CLT,ATL,A,07:09,429,06:59,419.0,9.0,410.0,-10.0,226.0
2024-09-02,F0080,DL,2325,N907DN,DEP,ATL,EWR,B,07:10,430,07:14,434.0,16.0,450.0,4.0,746.0
2024-09-02,F0081,DL,2836,N6711M,DEP,ATL,MIA,B,07:10,430,07:18,438.0,18.0,456.0,8.0,594.0
2024-09-02,F0082,DL,1178,N658DL,DEP,ATL,ORD,D,07:10,430,07:05,425.0,14.0,439.0,-5.0,606.0
2024-09-02,F0083,UA,1129,N13716,DEP,ATL,IAH,C,07:15,435,07:08,428.0,20.0,448.0,-7.0,689.0
2024-09-02,F0084,DL,839,N306DN,DEP,ATL,DFW,D,07:15,435,07:06,426.0,13.0,439.0,-9.0,731.0
2024-09-02,F0085,DL,926,N379DN,DEP,ATL,DCA,C,07:15,435,07:13,433.0,16.0,449.0,-2.0,547.0
2024-09-02,F0086,DL,1646,N6713Y,DEP,ATL,DTW,A,07:15,435,07:11,431.0,17.0,448.0,-4.0,594.0
2024-09-02,F0087,9E,5537,N181GJ,ARR,TRI,ATL,A,07:16,436,07:09,429.0,8.0,421.0,-7.0,227.0
2024-09-02,F0088,DL,3166,N926AT,ARR,OAJ,ATL,D,07:18,438,07:05,425.0,7.0,418.0,-13.0,399.0
2024-09-02,F0089,AA,1699,N119US,DEP,ATL,PHL,D,07:18,438,07:13,433.0,12.0,445.0,-5.0,666.0
2024-09-02,F0090,DL,996,N515DE,DEP,ATL,LAX,C,07:18,438,07:17,437.0,14.0,451.0,-1.0,1947.0
2024-09-02,F0091,DL,857,N367DN,ARR,LAS,ATL,C,07:18,438,07:02,422.0,16.0,406.0,-16.0,1747.0
2024-09-02,F0092,DL,2375,N351DN,ARR,DTW,ATL,B,07:19,439,07:04,424.0,13.0,411.0,-15.0,594.0
2024-09-02,F0093,YX,4369,N428YX,DEP,ATL,DCA,A,07:19,439,07:18,438.0,14.0,452.0,-1.0,547.0
2024-09-02,F0094,DL,1460,N355DN,ARR,RIC,ATL,A,07:19,439,07:24,444.0,11.0,433.0,5.0,481.0
