flight_date,flight_id,airline,flight_number,tail_number,operation,origin,destination,scheduled_time,scheduled_min,actual_time,actual_min,actual_taxi_min,wheels_time_min,delay_min,distance_mi,concourse
2024-06-17,F0001,WN,4163,N8655D,ARR,BWI,ATL,00:05,5,00:52,52.0,5.0,47.0,47.0,577.0,C
2024-06-17,F0002,NK,635,N976NK,ARR,ORD,ATL,00:05,5,23:38,1418.0,6.0,1412.0,-27.0,606.0,A
2024-06-17,F0003,WN,153,N8689C,ARR,MDW,ATL,00:05,5,00:04,4.0,5.0,1439.0,-1.0,591.0,D
2024-06-17,F0004,F9,4471,N373FR,ARR,RDU,ATL,00:05,5,00:46,46.0,17.0,29.0,41.0,356.0,A
2024-06-17,F0005,WN,4940,N8639B,ARR,DEN,ATL,00:15,15,00:36,36.0,6.0,30.0,21.0,1199.0,C
2024-06-17,F0006,DL,466,N820DX,ARR,LAS,ATL,00:21,21,00:34,34.0,8.0,26.0,13.0,1747.0,B
2024-06-17,F0007,DL,471,N358DN,ARR,LAX,ATL,00:28,28,01:55,115.0,12.0,103.0,87.0,1947.0,A
2024-06-17,F0008,NK,1596,N606NK,ARR,EWR,ATL,00:30,30,01:49,109.0,12.0,97.0,79.0,746.0,A
2024-06-17,F0009,UA,2114,N456UA,ARR,IAD,ATL,00:39,39,00:18,18.0,7.0,11.0,-21.0,534.0,C
2024-06-17,F0010,AA,1898,N829NN,ARR,MIA,ATL,00:40,40,00:24,24.0,8.0,16.0,-16.0,594.0,D
2024-06-17,F0011,WN,3039,N403WN,ARR,BNA,ATL,00:55,55,00:29,29.0,7.0,22.0,-26.0,214.0,C
2024-06-17,F0012,NK,75,N963NK,ARR,DFW,ATL,01:04,64,00:46,46.0,8.0,38.0,-18.0,731.0,A
2024-06-17,F0013,WN,2100,N201LV,ARR,DAL,ATL,01:10,70,00:49,49.0,5.0,44.0,-21.0,721.0,C
2024-06-17,F0014,WN,2391,N925WN,ARR,LAS,ATL,01:10,70,01:37,97.0,8.0,89.0,27.0,1747.0,C
2024-06-17,F0015,WN,5069,N494WN,ARR,PHX,ATL,01:20,80,01:10,70.0,6.0,64.0,-10.0,1587.0,C
2024-06-17,F0016,DL,2875,N892DN,ARR,SEA,ATL,01:24,84,01:31,91.0,9.0,82.0,7.0,2182.0,B
2024-06-17,F0017,F9,2081,N334FR,ARR,SJU,ATL,01:58,118,01:57,117.0,9.0,108.0,-1.0,1547.0,D
2024-06-17,F0018,DL,826,N702TW,ARR,SNA,ATL,04:31,271,04:10,250.0,8.0,242.0,-21.0,1919.0,B
2024-06-17,F0019,DL,564,N112DN,ARR,SAN,ATL,05:00,300,04:41,281.0,8.0,273.0,-19.0,1892.0,D
2024-06-17,F0020,AA,701,N108UW,DEP,ATL,CLT,05:02,302,04:56,296.0,9.0,305.0,-6.0,226.0,D
2024-06-17,F0021,DL,783,N311DN,ARR,LAX,ATL,05:04,304,05:58,358.0,6.0,352.0,54.0,1947.0,A
2024-06-17,F0022,DL,912,N127DN,ARR,SLC,ATL,05:05,305,04:48,288.0,8.0,280.0,-17.0,1590.0,B
2024-06-17,F0023,DL,828,N111DC,ARR,ONT,ATL,05:10,310,04:54,294.0,9.0,285.0,-16.0,1900.0,D
2024-06-17,F0024,DL,417,N390DN,ARR,LAS,ATL,05:16,316,05:21,321.0,8.0,313.0,5.0,1747.0,C
2024-06-17,F0025,DL,635,N816DN,ARR,SFO,ATL,05:19,319,05:06,306.0,5.0,301.0,-13.0,2139.0,C
2024-06-17,F0026,NK,403,N634NK,DEP,ATL,FLL,05:24,324,05:21,321.0,13.0,334.0,-3.0,581.0,A
2024-06-17,F0027,DL,535,N891DN,ARR,PDX,ATL,05:26,326,05:10,310.0,7.0,303.0,-16.0,2172.0,B
2024-06-17,F0028,UA,334,N68822,DEP,ATL,IAD,05:30,330,05:20,320.0,15.0,335.0,-10.0,534.0,C
2024-06-17,F0029,DL,567,N915DU,ARR,SEA,ATL,05:42,342,06:01,361.0,7.0,354.0,19.0,2182.0,A
2024-06-17,F0030,DL,819,N344DN,ARR,SAN,ATL,05:46,346,06:06,366.0,7.0,359.0,20.0,1892.0,A
2024-06-17,F0031,DL,391,N6705Y,ARR,RNO,ATL,05:47,347,05:36,336.0,9.0,327.0,-11.0,1993.0,D
2024-06-17,F0032,NK,3389,N956NK,DEP,ATL,LGA,05:47,347,05:39,339.0,13.0,352.0,-8.0,762.0,A
2024-06-17,F0033,AA,2868,N9019F,DEP,ATL,MIA,05:50,350,05:48,348.0,10.0,358.0,-2.0,594.0,D
2024-06-17,F0034,DL,833,N108DN,ARR,BOI,ATL,05:50,350,05:41,341.0,7.0,334.0,-9.0,1838.0,C
2024-06-17,F0035,DL,561,N389DA,ARR,FAT,ATL,05:52,352,06:27,387.0,9.0,378.0,35.0,1997.0,C
2024-06-17,F0036,DL,486,N888DU,ARR,SJC,ATL,05:53,353,05:30,330.0,6.0,324.0,-23.0,2116.0,A
2024-06-17,F0037,DL,883,N366DX,ARR,DEN,ATL,05:53,353,05:36,336.0,8.0,328.0,-17.0,1199.0,D
2024-06-17,F0038,DL,929,N384DN,ARR,PHX,ATL,06:00,360,05:55,355.0,7.0,348.0,-5.0,1587.0,A
2024-06-17,F0039,F9,4712,N373FR,DEP,ATL,BWI,06:00,360,05:48,348.0,13.0,361.0,-12.0,577.0,D
2024-06-17,F0040,AA,2684,N773XF,DEP,ATL,ORD,06:00,360,05:52,352.0,12.0,364.0,-8.0,606.0,D
2024-06-17,F0041,AA,2770,N176UW,DEP,ATL,DFW,06:00,360,05:57,357.0,12.0,369.0,-3.0,731.0,D
2024-06-17,F0042,WN,3580,N7822A,DEP,ATL,AUS,06:00,360,06:07,367.0,11.0,378.0,7.0,813.0,D
2024-06-17,F0043,DL,651,N594NW,DEP,ATL,DTW,06:00,360,05:59,359.0,17.0,376.0,-1.0,594.0,B
2024-06-17,F0044,F9,4472,N381FR,DEP,ATL,RDU,06:05,365,05:58,358.0,13.0,371.0,-7.0,356.0,A
2024-06-17,F0045,DL,899,N128DN,ARR,LAX,ATL,06:05,365,06:43,403.0,10.0,393.0,38.0,1947.0,A
2024-06-17,F0046,WN,4709,N8738K,DEP,ATL,LGA,06:05,365,06:05,365.0,12.0,377.0,0.0,762.0,C
2024-06-17,F0047,DL,836,N803NW,ARR,HNL,ATL,06:08,368,05:38,338.0,8.0,330.0,-30.0,4502.0,C
