flight_date,flight_id,airline,flight_number,tail_number,operation,origin,destination,scheduled_time,scheduled_min,actual_time,actual_min,actual_taxi_min,wheels_time_min,delay_min,distance_mi,concourse
2024-08-16,F0001,F9,3117,N384FR,ARR,SYR,ATL,00:10,10,00:20,20,20.0,1440,10.0,794.0,A
2024-08-16,F0002,WN,2744,N8892S,ARR,DEN,ATL,00:20,20,00:06,6,5.0,1,-14.0,1199.0,C
2024-08-16,F0003,DL,466,N545US,ARR,LAS,ATL,00:21,21,00:16,16,5.0,11,-5.0,1747.0,C
2024-08-16,F0004,WN,3871,N455WN,ARR,PHX,ATL,00:30,30,00:24,24,6.0,18,-6.0,1587.0,C
2024-08-16,F0005,DL,471,N340DN,ARR,LAX,ATL,00:33,33,00:33,33,7.0,26,0.0,1947.0,B
2024-08-16,F0006,F9,4555,N615FR,ARR,MCO,ATL,00:36,36,00:21,21,12.0,9,-15.0,404.0,A
2024-08-16,F0007,AA,1898,N922NN,ARR,MIA,ATL,00:44,44,00:32,32,11.0,21,-12.0,594.0,D
2024-08-16,F0008,F9,3046,N352FR,ARR,MSP,ATL,00:44,44,01:25,85,11.0,74,41.0,907.0,A
2024-08-16,F0009,F9,2400,N718FR,ARR,IAH,ATL,00:44,44,00:29,29,9.0,20,-15.0,689.0,D
2024-08-16,F0010,DL,2875,N866DN,ARR,SEA,ATL,00:46,46,00:38,38,4.0,34,-8.0,2182.0,A
2024-08-16,F0011,WN,2105,N1802U,ARR,LAS,ATL,01:00,60,00:46,46,5.0,41,-14.0,1747.0,C
2024-08-16,F0012,NK,1315,N665NK,ARR,LAS,ATL,04:26,266,04:40,280,8.0,272,14.0,1747.0,A
2024-08-16,F0013,DL,826,N550NW,ARR,SNA,ATL,04:33,273,04:50,290,11.0,279,17.0,1919.0,B
2024-08-16,F0014,DL,783,N311DN,ARR,LAX,ATL,05:00,300,05:28,328,5.0,323,28.0,1947.0,B
2024-08-16,F0015,DL,635,N930DZ,ARR,SFO,ATL,05:00,300,05:13,313,5.0,308,13.0,2139.0,A
2024-08-16,F0016,DL,567,N513DA,ARR,SEA,ATL,05:00,300,04:58,298,7.0,291,-2.0,2182.0,B
2024-08-16,F0017,DL,506,N103DY,ARR,SAN,ATL,05:00,300,04:46,286,9.0,277,-14.0,1892.0,D
2024-08-16,F0018,F9,3600,N708FR,ARR,DEN,ATL,05:03,303,04:45,285,11.0,274,-18.0,1199.0,A
2024-08-16,F0019,DL,912,N116DN,ARR,SLC,ATL,05:04,304,04:48,288,6.0,282,-16.0,1590.0,D
2024-08-16,F0020,UA,376,N14235,ARR,DEN,ATL,05:06,306,04:44,284,3.0,281,-22.0,1199.0,C
2024-08-16,F0021,AA,701,N732US,DEP,ATL,CLT,05:10,310,05:08,308,12.0,320,-2.0,226.0,D
2024-08-16,F0022,DL,828,N346DN,ARR,ONT,ATL,05:15,315,05:00,300,6.0,294,-15.0,1900.0,B
2024-08-16,F0023,F9,1269,N386FR,DEP,ATL,DFW,05:25,325,05:13,313,15.0,328,-12.0,731.0,D
2024-08-16,F0024,AA,1151,N965NN,DEP,ATL,MIA,05:25,325,05:24,324,27.0,351,-1.0,594.0,D
2024-08-16,F0025,DL,427,N532DN,ARR,PDX,ATL,05:27,327,05:14,314,7.0,307,-13.0,2172.0,C
2024-08-16,F0026,UA,267,N469UA,DEP,ATL,IAD,05:30,330,05:27,327,22.0,349,-3.0,534.0,B
2024-08-16,F0027,NK,3176,N682NK,DEP,ATL,FLL,05:36,336,05:35,335,11.0,346,-1.0,581.0,A
2024-08-16,F0028,DL,833,N342DN,ARR,BOI,ATL,05:43,343,05:42,342,5.0,337,-1.0,1838.0,C
2024-08-16,F0029,F9,1872,N316FR,DEP,ATL,JFK,05:45,345,05:32,332,15.0,347,-13.0,760.0,A
2024-08-16,F0030,DL,391,N6714Q,ARR,RNO,ATL,05:47,347,05:53,353,5.0,348,6.0,1993.0,A
2024-08-16,F0031,DL,561,N377DA,ARR,FAT,ATL,05:48,348,05:39,339,6.0,333,-9.0,1997.0,D
2024-08-16,F0032,DL,486,N839DN,ARR,SJC,ATL,05:49,349,06:21,381,6.0,375,32.0,2116.0,A
2024-08-16,F0033,DL,819,N129DN,ARR,SAN,ATL,05:49,349,05:48,348,5.0,343,-1.0,1892.0,C
2024-08-16,F0034,NK,3340,N980NK,DEP,ATL,LGA,05:50,350,05:58,358,13.0,371,8.0,762.0,C
2024-08-16,F0035,WN,3200,N8632A,DEP,ATL,DEN,06:00,360,05:54,354,15.0,369,-6.0,1199.0,D
2024-08-16,F0036,UA,1292,N452UA,DEP,ATL,ORD,06:00,360,05:54,354,16.0,370,-6.0,606.0,B
2024-08-16,F0037,AA,1069,N834AW,DEP,ATL,ORD,06:00,360,05:55,355,17.0,372,-5.0,606.0,D
2024-08-16,F0038,DL,651,N591NW,DEP,ATL,DTW,06:00,360,06:12,372,17.0,389,12.0,594.0,A
2024-08-16,F0039,AA,2770,N969AN,DEP,ATL,DFW,06:00,360,05:49,349,18.0,367,-11.0,731.0,D
2024-08-16,F0040,DL,836,N805NW,ARR,HNL,ATL,06:01,361,05:37,337,7.0,330,-24.0,4502.0,A
2024-08-16,F0041,DL,722,N382DN,ARR,LAS,ATL,06:02,362,07:02,422,5.0,417,60.0,1747.0,C
2024-08-16,F0042,F9,3216,N332FR,ARR,LAX,ATL,06:04,364,08:11,491,8.0,483,127.0,1947.0,D
2024-08-16,F0043,NK,3154,N607NK,DEP,ATL,PHL,06:05,365,06:52,412,13.0,425,47.0,666.0,A
2024-08-16,F0044,WN,4858,N8864H,DEP,ATL,BWI,06:05,365,06:04,364,13.0,377,-1.0,577.0,C
2024-08-16,F0045,DL,899,N126DN,ARR,LAX,ATL,06:13,373,06:58,418,5.0,413,45.0,1947.0,A
2024-08-16,F0046,WN,4663,N8668A,DEP,ATL,LGA,06:15,375,06:12,372,11.0,383,-3.0,762.0,C
2024-08-16,F0047,DL,827,N316DN,DEP,ATL,LAX,06:15,375,06:12,372,14.0,386,-3.0,1947.0,C
2024-08-16,F0048,F9,1403,N384FR,DEP,ATL,IAH,06:15,375,06:07,367,13.0,380,-8.0,689.0,A
2024-08-16,F0049,DL,2722,N537US,ARR,JAX,ATL,06:18,378,06:10,370,7.0,363,-8.0,270.0,B
2024-08-16,F0050,DL,574,N320DN,ARR,GEG,ATL,06:19,379,05:46,346,5.0,341,-33.0,1969.0,A
2024-08-16,F0051,B6,2713,N3203J,DEP,ATL,LGA,06:20,380,06:54,414,13.0,427,34.0,762.0,B
2024-08-16,F0052,WN,3794,N8624J,DEP,ATL,MCO,06:20,380,06:13,373,18.0,391,-7.0,404.0,D
2024-08-16,F0053,DL,929,N348DN,ARR,PHX,ATL,06:23,383,06:28,388,5.0,383,5.0,1587.0,D
2024-08-16,F0054,DL,769,N850DN,ARR,SMF,ATL,06:24,384,06:13,373,8.0,365,-11.0,2092.0,C
2024-08-16,F0055,DL,3015,N963DZ,ARR,TYS,ATL,06:25,385,06:02,362,7.0,355,-23.0,152.0,B
2024-08-16,F0056,WN,833,N928WN,DEP,ATL,MDW,06:25,385,06:20,380,12.0,392,-5.0,591.0,D
2024-08-16,F0057,DL,2942,N986AT,ARR,CHA,ATL,06:26,386,06:32,392,6.0,386,6.0,106.0,C
2024-08-16,F0058,DL,540,N882DN,ARR,OAK,ATL,06:26,386,06:38,398,3.0,395,12.0,2130.0,B
2024-08-16,F0059,NK,838,N634NK,ARR,SJU,ATL,06:26,386,06:06,366,20.0,346,-20.0,1547.0,C
2024-08-16,F0060,UA,2482,N881UA,ARR,SFO,ATL,06:27,387,06:18,378,5.0,373,-9.0,2139.0,B
2024-08-16,F0061,DL,463,N925DZ,ARR,SFO,ATL,06:30,390,06:37,397,11.0,386,7.0,2139.0,B
2024-08-16,F0062,DL,1729,N896DN,ARR,SAV,ATL,06:30,390,06:12,372,6.0,366,-18.0,214.0,B
2024-08-16,F0063,DL,404,N314DN,DEP,ATL,LGA,06:30,390,06:26,386,24.0,410,-4.0,762.0,B
2024-08-16,F0064,F9,3293,N715FR,DEP,ATL,DEN,06:30,390,06:22,382,15.0,397,-8.0,1199.0,D
2024-08-16,F0065,WN,746,N8322X,DEP,ATL,DAL,06:35,395,06:31,391,14.0,405,-4.0,721.0,D
2024-08-16,F0066,DL,3055,N845DN,ARR,CHS,ATL,06:38,398,06:32,392,17.0,375,-6.0,259.0,C
2024-08-16,F0067,WN,698,N498WN,DEP,ATL,HOU,06:40,400,06:37,397,17.0,414,-3.0,696.0,C
2024-08-16,F0068,UA,1511,N67815,DEP,ATL,EWR,06:44,404,06:43,403,15.0,418,-1.0,746.0,C
2024-08-16,F0069,DL,3028,N956DZ,ARR,GSP,ATL,06:45,405,06:25,385,4.0,381,-20.0,153.0,A
2024-08-16,F0070,WN,3218,N7726A,DEP,ATL,LAS,06:45,405,06:40,400,19.0,419,-5.0,1747.0,C
2024-08-16,F0071,DL,2330,N6715C,ARR,TPA,ATL,06:52,412,06:43,403,6.0,397,-9.0,406.0,A
2024-08-16,F0072,WN,1155,N284WN,DEP,ATL,DCA,06:55,415,06:51,411,13.0,424,-4.0,547.0,D
2024-08-16,F0073,DL,1590,N937DZ,ARR,RDU,ATL,06:55,415,06:32,392,4.0,388,-23.0,356.0,D
2024-08-16,F0074,F9,3118,N305FR,DEP,ATL,SYR,06:55,415,06:54,414,20.0,434,-1.0,794.0,D
2024-08-16,F0075,DL,1548,N900PC,ARR,MCO,ATL,06:56,416,06:42,402,6.0,396,-14.0,404.0,A
2024-08-16,F0076,UA,1129,N77525,DEP,ATL,IAH,07:00,420,06:53,413,16.0,429,-7.0,689.0,B
2024-08-16,F0077,AS,377,N435AS,DEP,ATL,SEA,07:00,420,06:51,411,16.0,427,-9.0,2182.0,B
2024-08-16,F0078,WN,654,N941WN,DEP,ATL,PHX,07:00,420,07:15,435,11.0,446,15.0,1587.0,C
2024-08-16,F0079,AA,2482,N321TG,DEP,ATL,MIA,07:01,421,07:09,429,24.0,453,8.0,594.0,D
2024-08-16,F0080,9E,5291,N293PQ,ARR,AGS,ATL,07:02,422,06:40,400,8.0,392,-22.0,143.0,B
2024-08-16,F0081,DL,1430,N688DL,ARR,ORF,ATL,07:02,422,06:47,407,4.0,403,-15.0,516.0,D
2024-08-16,F0082,DL,2712,N920AT,ARR,AVL,ATL,07:03,423,06:46,406,5.0,401,-17.0,164.0,B
2024-08-16,F0083,DL,3038,N931DQ,ARR,CAE,ATL,07:04,424,06:57,417,4.0,413,-7.0,192.0,C
2024-08-16,F0084,DL,1334,N6700,DEP,ATL,FLL,07:05,425,06:59,419,17.0,436,-6.0,581.0,B
2024-08-16,F0085,DL,834,N107DN,DEP,ATL,LAS,07:05,425,07:00,420,11.0,431,-5.0,1747.0,B
2024-08-16,F0086,DL,1178,N357DN,DEP,ATL,ORD,07:05,425,07:03,423,13.0,436,-2.0,606.0,C
2024-08-16,F0087,DL,1369,N369DN,DEP,ATL,CLE,07:05,425,07:04,424,15.0,439,-1.0,554.0,D
2024-08-16,F0088,WN,1317,N937WN,DEP,ATL,BNA,07:05,425,06:59,419,13.0,432,-6.0,214.0,D
2024-08-16,F0089,DL,2605,N546US,DEP,ATL,TPA,07:05,425,07:01,421,11.0,432,-4.0,406.0,C
2024-08-16,F0090,DL,346,N354DN,DEP,ATL,DEN,07:05,425,07:04,424,14.0,438,-1.0,1199.0,B
2024-08-16,F0091,DL,2668,N924DZ,DEP,ATL,MSP,07:05,425,07:01,421,16.0,437,-4.0,907.0,B
2024-08-16,F0092,DL,1527,N392DN,DEP,ATL,PBI,07:05,425,06:56,416,17.0,433,-9.0,545.0,D
2024-08-16,F0093,DL,1585,N305DN,DEP,ATL,IAH,07:05,425,07:01,421,12.0,433,-4.0,689.0,A
2024-08-16,F0094,9E,4970,N311PQ,DEP,ATL,HPN,07:06,426,07:02,422,15.0,437,-4.0,780.0,A
2024-08-16,F0095,AA,1718,N723UW,DEP,ATL,CLT,07:06,426,07:42,462,13.0,475,36.0,226.0,D
